# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
shi pei 	适配	c=2 d=1 t=20820
shi peng fei 	是鹏飞	c=2 d=1 t=13832
shi pin 	视频	c=15 d=1.55747 t=22574
shi qi 	使其	c=2 d=1.62189 t=16636
shi qi 	时期	c=4 d=1.00022 t=18317
shi qing 	事情	c=6 d=1.00005 t=23091
shi qing zuo 	事情做	c=1 d=1 t=18208
shi ru he 	是如何	c=1 d=1 t=11073
shi run 	湿润	c=1 d=1 t=5362
shi sha 	是啥	c=3 d=1.47951 t=17731
shi sha bi 	是傻逼	c=0 d=0.1 t=439
shi sha yi si 	是啥意思	c=1 d=1 t=21193
shi shei 	是谁	c=6 d=1.00145 t=14632
shi shen me 	是什么	c=12 d=1 t=23312
shi shi 	事实	c=2 d=1 t=18265
shi shi 	实时	c=2 d=1 t=22772
shi shi 	试试	c=6 d=1 t=22771
shi shi jiu shi shi 	试试就试试	c=1 d=1 t=158
shi shi wu chang 	世事无常	c=1 d=1 t=8622
shi tang 	食堂	c=1 d=1 t=18866
shi tu 	视图	c=1 d=1 t=18254
shi tu 	试图	c=1 d=1 t=18255
shi wo 	是我	c=1 d=1 t=21825
shi xi 	实习	c=4 d=1.00074 t=6720
shi xia 	时下	c=1 d=1 t=18607
shi xia le 	是下了	c=1 d=1 t=18900
shi xian 	实现	c=41 d=1.00027 t=22776
shi xian chu lai 	实现出来	c=1 d=1 t=11429
shi xian le 	实现了	c=3 d=1.02264 t=19660
shi xiao 	失效	c=3 d=1 t=22521
shi xiong 	师兄	c=5 d=1.94176 t=5834
shi xue zhou 	石学舟	c=13 d=1 t=21314
shi yan 	实验	c=21 d=1.03136 t=17655
shi yan bu fen 	实验部分	c=1 d=1 t=8470
shi yan de 	实验的	c=1 d=1 t=17058
shi yan ke 	实验课	c=1 d=1 t=697
shi yan shi 	实验室	c=20 d=3.9005 t=23160
shi yan zong jie 	实验总结	c=1 d=1 t=21315
shi yi ge 	是一个	c=2 d=1.17907 t=3154
shi yi tu 	示意图	c=1 d=1 t=14251
shi yi zhong 	是一种	c=0 d=0.1 t=10165
shi ying 	适应	c=1 d=1 t=3155
shi yo 	是哟	c=0 d=0.1 t=17119
shi yo gong 	是哟供	c=1 d=1 t=17120
shi yong 	使用	c=94 d=1.82563 t=23408
shi yong 	适用	c=2 d=1.15412 t=6359
shi yong le 	使用了	c=1 d=1 t=16339
shi yong lv 	使用率	c=1 d=1 t=835
shi yong yuan 	试用员	c=1 d=1 t=1151
shi yong zhe 	使用者	c=1 d=1 t=12065
shi yuan li mei 	石原里美	c=3 d=2.6169 t=14724
shi zhong 	时钟	c=2 d=1.97531 t=12448
shou 	手	c=2 d=1 t=6956
shou bing 	手柄	c=1 d=1 t=9601
shou bu dao 	收不到	c=4 d=3.32001 t=13023
shou bu dao le 	收不到了	c=1 d=1 t=12704
shou bu liao 	受不了	c=2 d=1 t=20697
shou bu liao yi dian 	受不了一点	c=1 d=1 t=11897
shou ce 	手册	c=1 d=1 t=18448
shou chao 	受潮	c=1 d=1 t=20871
shou ci 	首次	c=1 d=1 t=1207
shou cui 	手脆	c=1 d=1 t=1206
shou dao 	受到	c=2 d=1 t=20299
shou dao 	收到	c=5 d=1.00715 t=22221
shou dong 	手动	c=4 d=1 t=21621
shou dong chuang jian 	手动创建	c=1 d=1 t=10837
shou duan 	手段	c=4 d=2.93124 t=18808
shou fei 	收费	c=1 d=1 t=16010
shou gan 	手感	c=5 d=2.67703 t=11946
shou hu jin cheng 	守护进程	c=1 d=1 t=17780
shou huan 	手环	c=1 d=1 t=6619
shou ji 	手机	c=26 d=1 t=18926
shou ji chong dian qi 	手机充电器	c=1 d=1 t=1996
shou ji mo 	手机膜	c=3 d=2.9459 t=12006
shou ji wo 	手机我	c=1 d=1 t=11979
shou jin 	受尽	c=1 d=1 t=11644
shou men yuan 	守门员	c=1 d=1 t=13188
shou qi lai le 	收起来了	c=1 d=1 t=20520
shou ru 	收入	c=1 d=1 t=10081
shou shi 	手势	c=2 d=1 t=11716
shou xi 	手洗	c=1 d=1 t=18950
shou xian 	首先	c=8 d=1.00097 t=21472
shou ye 	首页	c=1 d=1 t=7642
shou zhi teng 	手指疼	c=1 d=1 t=20396
shu 	书	c=5 d=1.00069 t=11812
shu bao li 	书包里	c=1 d=1 t=2333
shu biao 	鼠标	c=16 d=1.00004 t=7994
shu biao dian 	鼠标垫	c=1 d=1 t=1907
shu biao shi 	鼠标是	c=1 d=1 t=5455
shu chu 	输出	c=8 d=3.08426 t=22414
shu chu sha 	输出啥	c=1 d=1 t=18334
shu dai zi 	书呆子	c=1 d=1 t=3081
shu ju 	数据	c=30 d=1.63888 t=22137
shu ju ji 	数据集	c=4 d=2.95072 t=21289
shu ju ku 	数据库	c=8 d=1.00463 t=21285
shu ju qu 	数据区	c=1 d=1 t=6365
shu le 	熟了	c=1 d=1 t=6750
shu liang 	数量	c=6 d=2.55953 t=17320
shu liang gu ji 	数量估计	c=1 d=1 t=4021
shu ru 	输入	c=19 d=1.96172 t=22105
shu ru fa 	输入法	c=19 d=3.92156 t=22095
shu ru kuang 	输入框	c=1 d=1 t=5030
shu san 	疏散	c=1 d=1 t=20773
shu shi 	属实	c=3 d=1.00006 t=9743
shu xi de 	熟悉的	c=1 d=1 t=1794
shu xian 	竖线	c=1 d=1 t=20807
shu xu guan 	鼠须管	c=5 d=1 t=21148
shu xue yun suan 	数学运算	c=1 d=1 t=13496
shu xun 	书讯	c=1 d=1 t=20067
shu yu 	属于	c=2 d=1 t=13261
shu yu 	术语	c=2 d=1 t=21908
shu zhu 	属猪	c=1 d=1 t=10494
shu zhuo 	书桌	c=1 d=1 t=10495
shu zi 	数字	c=4 d=1.00585 t=22761
shu zi hua 	数字化	c=0 d=0.1 t=20016
shu zi hua yuan 	数字化元	c=1 d=1 t=20017
shu zu 	数组	c=1 d=1 t=11214
shua 	刷	c=3 d=1 t=22832
shua shou ji 	刷手机	c=1 d=1 t=16942
shua xin 	刷新	c=9 d=4.02714 t=22470
shua xin lv 	刷新率	c=1 d=1 t=260
shuai 	摔	c=1 d=1 t=12403
shuai bu shuai 	帅不帅	c=1 d=1 t=3606
shuai huai 	摔坏	c=0 d=0.1 t=12411
shuai huai ta 	摔坏他	c=1 d=1 t=12412
shuai le 	摔了	c=1 d=1 t=1943
shuang 	双	c=1 d=1 t=10154
shuang 	爽	c=2 d=1 t=9351
shuang a 	爽啊	c=1 d=0.1 t=6077
shuang ka 	双卡	c=1 d=1 t=6253
shuang kai 	双开	c=0 d=0.1 t=5443
shuang kai a 	双开啊	c=1 d=1 t=5444
shuang le 	爽了	c=1 d=1 t=7356
shuang lian 	双链	c=2 d=1.92312 t=10775
shuang tong dao 	双通道	c=1 d=1 t=15427
shuang xiang 	双向	c=3 d=1 t=14737
shuang yu 	双语	c=2 d=1.956 t=9746
shui 	水	c=2 d=1 t=18971
shui 	睡	c=5 d=1.00027 t=21319
shui bu liao 	睡不了	c=2 d=1 t=18572
shui da jiao 	睡大觉	c=1 d=1 t=7042
shui dao 	水道	c=1 d=1 t=23165
shui dao 	睡到	c=1 d=1 t=23166
shui de 	睡的	c=4 d=1.00001 t=23179
shui de 	谁的	c=1 d=1 t=8443
shui jiao 	睡觉	c=3 d=1.74082 t=23161
shui jiao le 	睡觉了	c=1 d=1 t=19376
shui jiao qu le 	睡觉去了	c=1 d=1 t=12734
shui le 	睡了	c=7 d=2.48539 t=23187
shui mian 	睡眠	c=5 d=1.7047 t=23173
shui ping 	水平	c=1 d=1 t=9359
shui qian 	睡前	c=1 d=1 t=13129
shui xian 	水仙	c=1 d=1 t=13106
shui zai 	睡在	c=1 d=1 t=14821
shui zhao 	睡着	c=1 d=1 t=9549
shui zhao le 	睡着了	c=2 d=1 t=16930
shui zhao le ma 	睡着了吗	c=1 d=1 t=18337
shui zhun 	水准	c=1 d=1 t=1911
shun 	顺	c=0 d=0.1 t=2848
shun bian 	顺便	c=1 d=1 t=3294
shun xia qu 	顺下去	c=1 d=1 t=2849
shun xu 	顺序	c=7 d=1 t=20068
shuo 	说	c=15 d=0.101252 t=23345
shuo a 	说啊	c=1 d=1 t=6717
shuo bai le 	说白了	c=2 d=1.60351 t=12163
shuo bie de 	说别的	c=1 d=1 t=11985
shuo de 	说的	c=2 d=1 t=21098
shuo guo 	说过	c=1 d=1 t=7336
shuo le 	说了	c=3 d=1.00025 t=12028
shuo ming 	说明	c=5 d=1.00001 t=19965
shuo ming le 	说明了	c=3 d=1.00077 t=17961
shuo ming shen me 	说明什么	c=2 d=1.00001 t=17959
shuo shen me 	说什么	c=0 d=0.1 t=1365
shuo shi 	硕士	c=1 d=1 t=2310
shuo wan 	说完	c=1 d=1 t=23342
shuo zai jian 	说再见	c=0 d=0.1 t=22638
si 	四	c=4 d=1 t=14861
si 	死	c=7 d=0.100006 t=22990
si dian 	四点	c=1 d=1 t=1959
si dian duo 	四点多	c=1 d=1 t=15002
si diao 	死掉	c=0 d=0.1 t=9559
si ge 	四个	c=1 d=1 t=17820
si hao 	丝毫	c=1 d=1 t=11657
si huo 	私活	c=1 d=1 t=6273
si kao 	思考	c=2 d=1 t=22971
si kao guo 	思考过	c=0 d=0.1 t=7899
si kao guo a 	思考过啊	c=1 d=1 t=7900
si le 	死了	c=3 d=1.94779 t=14818
si lu 	思路	c=2 d=1.65377 t=23027
si qi 	私企	c=1 d=1 t=7350
si qu 	死去	c=1 d=1 t=6179
si ren de 	私人的	c=2 d=1.97531 t=22907
si wang 	死亡	c=6 d=4.25519 t=14746
si xia lai 	撕下来	c=1 d=1 t=12000
si xiang 	思想	c=3 d=1 t=20751
si you 	私有	c=3 d=1 t=20636
si yuan 	思源	c=1 d=0.102454 t=4213
si yuan bi ji 	思源笔记	c=1 d=1 t=4214
si zai 	死在	c=0 d=0.1 t=3906
song shu 	松树	c=0 d=0.1 t=4672
song shu jue yu 	松树撅鱼	c=1 d=1 t=4673
sou 	搜	c=4 d=1.92837 t=10278
sou bu dao 	搜不到	c=1 d=1 t=10281
sou dao 	搜到	c=0 d=0.1 t=19166
sou sou 	搜搜	c=1 d=1 t=952
sou suo 	搜索	c=6 d=1 t=19166
su 	诉	c=0 d=0.1 t=21394
su 	速	c=1 d=1 t=21572
su da shui 	苏打水	c=1 d=1 t=10859
su du 	速度	c=8 d=1.93363 t=18830
su du yu 	速度与	c=1 d=1 t=10116
su du yu ji qing 	速度与激情	c=1 d=1 t=10131
su ju 	苏剧	c=1 d=1 t=5594
su kan 	速看	c=1 d=1 t=23324
su she 	宿舍	c=14 d=1 t=23186
su she de 	宿舍的	c=1 d=1 t=12757
su zhi 	素质	c=1 d=1 t=11903
su zhu ji 	宿主机	c=3 d=2.61294 t=21883
suan chu lai 	算出来	c=0 d=0.1 t=10321
suan chu lai de 	算出来的	c=1 d=1 t=10322
suan fa 	算法	c=10 d=2.95566 t=20918
suan le 	算了	c=3 d=1 t=7011
suan xia lai 	算下来	c=1 d=1 t=4132
suan zuo 	算作	c=1 d=1 t=22840
sui 	岁	c=1 d=1 t=14909
sui 	虽	c=1 d=1 t=14908
sui bian 	随便	c=3 d=1 t=19844
sui bian fa 	随便发	c=0 d=0.1 t=6702
sui bian fa de 	随便发的	c=1 d=1 t=6703
sui dao 	隧道	c=1 d=1 t=11801
sui ji 	随机	c=8 d=1 t=22816
sui ji 	随记	c=1 d=1 t=22995
sui le 	碎了	c=1 d=1 t=12407
sui ran 	虽然	c=6 d=1 t=23225
sui shi 	随时	c=2 d=1 t=12131
sui yi 	随意	c=1 d=1 t=12775
sui zhe 	随着	c=1 d=1 t=17962
sun huai 	损坏	c=1 d=1 t=420
sun shi 	损失	c=2 d=1.50662 t=20614
suo 	所	c=2 d=1 t=20985
suo 	锁	c=1 d=0.1 t=14845
suo ding 	锁定	c=1 d=1 t=13348
suo jian 	缩减	c=2 d=1.9802 t=17485
suo kun rao 	所困扰	c=1 d=1 t=20992
suo ping 	锁屏	c=1 d=1 t=33
suo sheng wu ji 	所剩无几	c=1 d=1 t=20053
suo shi 	所示	c=8 d=1 t=21381
suo shu 	所述	c=1 d=1 t=20232
suo shuo 	所说	c=1 d=1 t=15861
suo xing 	索性	c=0 d=0.1 t=23156
suo xing you 	索性又	c=1 d=1 t=23157
suo xu 	所需	c=5 d=1.16045 t=17963
suo xu yao de 	所需要的	c=1 d=1 t=17443
suo yao 	所要	c=0 d=0.1 t=16733
suo yao de 	所要的	c=1 d=1 t=16734
suo yi 	所以	c=14 d=1.01572 t=18559
suo yi shuo 	所以说	c=1 d=1 t=14078
suo yin 	索引	c=6 d=1 t=13609
suo ying 	缩影	c=2 d=1.99005 t=23387
suo you 	所有	c=34 d=1.85219 t=22887
suo you de 	所有的	c=4 d=1 t=22555
suo zhan 	所占	c=1 d=1 t=17019
ta 	他	c=22 d=1.63391 t=21678
ta 	它	c=10 d=1.00068 t=18650
ta bu shi 	他不是	c=1 d=1 t=9394
ta de 	他的	c=2 d=1 t=16502
ta dou 	他都	c=1 d=1 t=12896
ta gan 	他敢	c=0 d=0.1 t=11259
ta gan ma 	他敢吗	c=1 d=1 t=11260
ta ge 	他哥	c=1 d=1 t=14914
ta ju ran 	他居然	c=1 d=1 t=11395
ta ma 	他妈	c=3 d=0.100001 t=4574
ta ma de 	他妈的	c=2 d=1 t=9874
ta ma le ge ba zi 	他妈了个巴子	c=1 d=1 t=17998
ta men 	他们	c=16 d=1.51257 t=21842
ta ming bai 	他明白	c=1 d=1 t=14903
ta neng 	它能	c=0 d=0.1 t=12479
ta neng bu neng 	它能不能	c=1 d=1 t=12480
ta shi 	他是	c=5 d=1 t=6032
ta shuo 	他说	c=1 d=1 t=3656
ta xian 	他先	c=0 d=0.1 t=12924
ta xian rang wo kan 	他先让我看	c=1 d=1 t=12925
ta xian zai 	她现在	c=1 d=1 t=13720
ta ye 	他也	c=1 d=1 t=2602
ta you 	他又	c=0 d=0.1 t=6555
ta you bu shi 	他又不是	c=1 d=1 t=7351
ta you chu bu lai 	他又出不来	c=1 d=1 t=6556
ta zai 	他在	c=1 d=1 t=19090
tai 	台	c=9 d=1.00003 t=22179
tai 	太	c=7 d=1 t=22180
tai chao le 	太吵了	c=1 d=1 t=13974
tai chou 	太丑	c=1 d=1 t=10790
tai chou le 	太丑了	c=1 d=1 t=22391
tai chou xiang 	太抽象	c=2 d=1 t=19411
tai chou xiang le 	太抽象了	c=1 d=1 t=19104
tai diu lian le 	太丢脸了	c=1 d=1 t=13972
tai du 	态度	c=2 d=1 t=12579
tai duo 	太多	c=1 d=1 t=22979
tai fang bian le 	太方便了	c=1 d=1 t=1885
tai gui le 	太贵了	c=1 d=1 t=23367
tai hao kan le 	太好看了	c=1 d=1 t=12483
tai hao le 	太好了	c=1 d=1 t=11947
tai hao wan le 	太好玩了	c=2 d=1 t=21733
tai hou 	太后	c=1 d=1 t=19010
tai hou le 	太厚了	c=1 d=1 t=19027
tai hu 	太湖	c=0 d=0.1 t=6149
tai hu le 	太湖了	c=1 d=1 t=6150
tai hua suan 	太划算	c=0 d=0.1 t=4848
tai hua suan ge lei 	太划算各类	c=1 d=1 t=4849
tai huai le 	太坏了	c=1 d=1 t=20390
tai ji guai 	太奇怪	c=0 d=0.1 t=11348
tai ji guai le 	太奇怪了	c=1 d=1 t=11349
tai ku la 	太酷啦	c=1 d=1 t=20198
tai ku le 	太苦了	c=1 d=1 t=10630
tai ku le 	太酷了	c=1 d=1 t=19920
tai la ji le 	太垃圾了	c=1 d=1 t=6679
tai la le 	太拉了	c=1 d=1 t=11736
tai li pu le 	太离谱了	c=1 d=1 t=1814
tai meng le 	太猛了	c=2 d=1 t=13164
tai mo huan 	太魔幻	c=0 d=0.1 t=19228
tai mo huan le 	太魔幻了	c=1 d=1 t=19229
tai shan 	泰山	c=1 d=1 t=7628
tai shao le 	太少了	c=1 d=1 t=18129
tai shu fu 	太舒服	c=1 d=1 t=268
tai shuai le 	太帅了	c=2 d=1 t=23349
tai shuang le 	太爽了	c=3 d=1 t=9348
tai si 	泰斯	c=1 d=1 t=10551
tan hua 	谈话	c=1 d=1 t=3069
tan suo 	探索	c=4 d=1 t=14555
tan xing 	弹性	c=1 d=1 t=20460
tan yu 	贪欲	c=1 d=1 t=18287
tang 	糖	c=2 d=1 t=23242
tang de 	烫的	c=0 d=0.1 t=21489
tang de gen 	烫的跟	c=1 d=1 t=21490
tang mi 	汤米	c=1 d=1 t=10698
tang zai 	躺在	c=1 d=1 t=10504
tang zhe 	躺着	c=2 d=1.85214 t=10498
tao 	套	c=1 d=1 t=18477
tao bao 	淘宝	c=3 d=1 t=7396
tao bao shang 	淘宝上	c=1 d=1 t=10489
tao ci 	陶瓷	c=1 d=1 t=11973
tao le 	套了	c=1 d=1 t=12377
tao lun 	讨论	c=2 d=1 t=17425
tao lun le 	讨论了	c=1 d=1 t=2265
te bie 	特别	c=2 d=1 t=11744
te bie qing chu 	特别清楚	c=1 d=1 t=21600
te dian 	特点	c=2 d=1.8781 t=5775
te ding 	特定	c=2 d=1 t=17198
te ding de 	特定的	c=1 d=1 t=18426
te shu qu dao 	特殊渠道	c=1 d=1 t=3062
te xing 	特性	c=2 d=1 t=15461
te zheng 	特征	c=2 d=1.98511 t=8937
teng tong 	疼痛	c=1 d=1 t=4633
teng xun 	腾讯	c=5 d=1.00028 t=13447
teng xun wen dang 	腾讯文档	c=1 d=1 t=12286
teng xun yun 	腾讯云	c=8 d=1.7062 t=19923
ti 	体	c=1 d=0.1 t=11441
ti 	提	c=1 d=1 t=21549
ti 	题	c=2 d=1 t=15061
ti a 	提啊	c=0 d=0.1 t=5907
ti bu 	替补	c=2 d=0.1 t=16917
ti bu xi 	替补席	c=1 d=1 t=11734
ti chu 	剔除	c=1 d=1 t=11532
ti chu 	提出	c=2 d=1 t=16176
ti chu le 	提出了	c=2 d=1 t=20291
ti dai pin 	替代品	c=2 d=1 t=21064
ti dao 	提到	c=2 d=1.96079 t=601
ti gong 	提供	c=13 d=1.00085 t=20535
ti gong fu wu 	提供服务	c=1 d=1 t=12031
ti gong le 	提供了	c=7 d=1.90767 t=20594
ti huan 	替换	c=1 d=1 t=22268
ti huan wei 	替换为	c=1 d=1 t=21190
ti ji 	提及	c=1 d=1 t=9911
ti jiao 	提交	c=2 d=1 t=8814
ti jiao dao 	提交到	c=1 d=1 t=15790
ti na jia de 	体那家的	c=1 d=1 t=11442
ti sheng 	提升	c=2 d=1 t=16599
ti shi 	提示	c=4 d=1.39069 t=12505
ti xi 	体系	c=12 d=1 t=21329
ti xi jie gou 	体系结构	c=2 d=1 t=4244
ti yan 	体验	c=7 d=1.45689 t=15099
ti zi 	梯子	c=7 d=1.00009 t=21669
tian 	填	c=4 d=1 t=22566
tian 	天	c=5 d=1.92312 t=19045
tian chong 	填充	c=1 d=1 t=13444
tian jia 	添加	c=7 d=1.03263 t=22508
tian jia dao 	添加到	c=1 d=1 t=17196
tian jia dao le 	添加到了	c=1 d=1 t=22285
tian jia le 	添加了	c=2 d=1 t=19399
tian le 	填了	c=1 d=1 t=7490
tian liang le 	天亮了	c=1 d=1 t=19523
tian qi 	天气	c=4 d=1 t=18067
tian shang 	天上	c=1 d=1 t=22565
tian tian 	天天	c=8 d=1.02678 t=18919
tian tian 	甜甜	c=2 d=1 t=18194
tian tian he 	天天喝	c=1 d=1 t=8416
tian xia wu gong 	天下武功	c=1 d=1 t=21637
tian xie 	填写	c=3 d=1 t=22236
tian ya 	天涯	c=1 d=1 t=3347
tiao 	挑	c=1 d=1 t=14768
tiao cheng 	调成	c=1 d=1 t=11270
tiao dao 	调到	c=1 d=1 t=9853
tiao dao 	跳到	c=1 d=1 t=2981
tiao dong 	跳动	c=1 d=1 t=15022
tiao jian 	条件	c=3 d=1.00009 t=17338
tiao jie 	调节	c=3 d=2.85607 t=15401
tiao le 	挑了	c=1 d=1 t=3611
tiao shi 	调试	c=2 d=1 t=18681
tiao tiao jian jian 	挑挑拣拣	c=1 d=1 t=19546
tiao zhan 	挑战	c=5 d=1.82309 t=16113
tiao zhan shi 	挑战时	c=1 d=1 t=22040
tiao zheng 	调整	c=2 d=1 t=22256
tiao zheng de 	调整的	c=1 d=1 t=13435
tiao zheng le 	调整了	c=0 d=0.1 t=23197
tiao zheng le yi xia 	调整了一下	c=1 d=1 t=23198
tiao zhuan 	跳转	c=2 d=1 t=7948
tiao zhuan dao 	跳转到	c=2 d=1 t=21215
tie 	铁	c=1 d=1 t=6715
tie ba 	贴吧	c=2 d=1.97045 t=13113
tie fen 	铁粉	c=1 d=1 t=5931
tie le 	贴了	c=1 d=1 t=12383
tie mo 	贴膜	c=1 d=1 t=12010
tie wan 	贴完	c=1 d=1 t=12018
tie zhi 	贴纸	c=1 d=1.08511 t=14040
tie zi 	帖子	c=3 d=1 t=22450
ting 	停	c=1 d=1 t=1966
ting 	挺	c=1 d=1 t=11608
ting bu dong 	听不懂	c=1 d=1 t=10153
ting chu 	听出	c=1 d=1 t=11918
ting dao 	听到	c=1 d=1 t=8599
ting duo de 	挺多的	c=1 d=1 t=20707
ting feng 	听风	c=1 d=1 t=14782
ting hao de 	挺好的	c=1 d=1 t=18774
ting ke 	听课	c=1 d=1 t=4915
ting ke pa 	挺可怕	c=0 d=0.1 t=11606
ting ke pa de 	挺可怕的	c=1 d=1 t=11607
ting le 	听了	c=1 d=1 t=18164
ting xia lai 	停下来	c=1 d=1 t=1182
tong 	同	c=0 d=0.1 t=3219
tong 	桶	c=2 d=1.84789 t=11510
tong 	通	c=1 d=1 t=7052
tong bu 	同步	c=50 d=1.51524 t=22912
tong bu an 	同不安	c=1 d=1 t=3220
tong bu dao 	同步到	c=2 d=1.6157 t=14739
tong bu fang shi 	同步方式	c=1 d=1 t=22911
tong bu pan 	同步盘	c=3 d=1 t=14181
tong bu yi xia 	同步一下	c=1 d=1 t=2063
tong chang 	通常	c=1 d=1 t=15787
tong chang shi 	通常是	c=2 d=1 t=15438
tong chang zai 	通常在	c=1 d=1 t=15884
tong dao 	通道	c=5 d=2.83548 t=15514
tong dao shu 	通道数	c=1 d=1 t=13334
tong guo 	通过	c=28 d=1.13606 t=22617
tong ji 	统计	c=3 d=1 t=20047
tong ku 	痛苦	c=1 d=1 t=13628
tong ku liu ti 	痛哭流涕	c=1 d=1 t=10577
tong ming 	同名	c=1 d=1 t=508
tong shi 	同时	c=22 d=1.00101 t=22806
tong xiao 	通宵	c=4 d=1 t=23109
tong xiao 	通晓	c=0 d=0.1 t=7363
tong xiao le 	通晓了	c=2 d=1 t=23108
tong xin 	通信	c=5 d=1.00001 t=20081
tong xin ji shu 	通信技术	c=1 d=1 t=20734
tong yang 	同样	c=1 d=1 t=5560
tong yang shi 	同样是	c=1 d=1 t=3815
tong yi 	同意	c=2 d=1 t=17430
tong yi 	统一	c=3 d=1.87372 t=17459
tong yi ge 	同一个	c=2 d=1 t=21415
tong yi miao 	同一秒	c=1 d=1 t=12264
tong yi tai 	同一台	c=1 d=1 t=16163
tong yong 	通用	c=2 d=1 t=22248
tong zhi 	通知	c=15 d=3.63698 t=22754
tong zhi cao zuo xi tong 	通知操作系统	c=1 d=1 t=16591
tong zhi duan 	通知端	c=1 d=1 t=22593
tou 	头	c=1 d=0.29205 t=3102
tou 	投	c=2 d=1.93707 t=2786
tou chuan 	投传	c=1 d=1 t=5853
tou chuan 	透传	c=1 d=1 t=5855
tou ming 	透明	c=1 d=1 t=20540
tou wen jian 	头文件	c=0 d=0.1 t=19476
tou wen jian li 	头文件里	c=1 d=1 t=19477
tou xiang 	头像	c=6 d=1 t=22247
tou yi ge 	头一个	c=1 d=1 t=6722
tou yun 	头晕	c=2 d=1 t=12763
tu 	吐	c=2 d=1.05366 t=15422
tu 	图	c=2 d=1 t=21559
tu an 	图案	c=3 d=2.77065 t=22410
tu biao 	图标	c=6 d=2.86269 t=12457
tu cao 	吐槽	c=2 d=1.00271 t=16271
tu chu lai le 	吐出来了	c=1 d=1 t=15012
tu fa qi xiang 	突发奇想	c=2 d=1.00003 t=23149
tu le 	吐了	c=1 d=0.1 t=18144
tu pian 	图片	c=19 d=1.77268 t=22573
tu ran 	突然	c=4 d=1.00336 t=21046
tu ran fa xian 	突然发现	c=1 d=1 t=18061
tu shu 	图书	c=0 d=0.1 t=10108
tu shu guan 	图书馆	c=2 d=1.98511 t=10111
tu shu guan li mian 	图书管理面	c=1 d=1 t=10109
tu xing ka 	图形卡	c=5 d=2.9963 t=22104
tuan dui 	团队	c=2 d=1.96561 t=13058
tuan ti 	团体	c=0 d=0.1 t=13237
tuan ti ti bu 	团体替补	c=1 d=1 t=13238
tui 	推	c=2 d=1.01584 t=7810
tui chu 	退出	c=4 d=1 t=3542
tui duan 	推断	c=1 d=1 t=20548
tui hei su 	褪黑素	c=2 d=1.00002 t=11713
tui hua 	退化	c=0 d=0.1 t=23001
tui hua cheng le 	退化成了	c=1 d=1 t=23002
tui jian 	推荐	c=12 d=1 t=19740
tui jian a 	推荐啊	c=1 d=1 t=1929
tui jian de 	推荐的	c=1 d=1 t=1924
tui le 	退了	c=2 d=1.02375 t=12610
tui sha 	退啥	c=1 d=1 t=11843
tui she 	推射	c=3 d=2.77842 t=10399
tui song 	推送	c=3 d=1.12003 t=22646
tui song gei 	推送给	c=1 d=1 t=22389
tui suo 	退缩	c=1 d=1 t=10472
tui wo 	推我	c=1 d=1 t=19039
tui xue 	退学	c=0 d=0.1 t=18879
tun tu liang 	吞吐量	c=1 d=1 t=14410
tuo dao 	拖到	c=1 d=1 t=1477
tuo dong 	拖动	c=1 d=1 t=21019
tuo guan 	托管	c=2 d=1.79483 t=22071
tuo guan yu yan 	托管语言	c=2 d=1.99501 t=20906
tuo li 	脱离	c=2 d=1 t=18326
tuo luo 	陀螺	c=1 d=1 t=9300
tuo pu 	拓扑	c=1 d=1 t=19675
tuo shui 	脱水	c=1 d=1 t=18962
wa fen 	挖坟	c=2 d=1.91851 t=13962
wa jie 	瓦解	c=1 d=1 t=5516
wa ka ka 	哇咔咔	c=1 d=1 t=21167
wa sui dao 	挖隧道	c=1 d=1 t=22758
wai bu 	外部	c=3 d=1 t=5231
wai guo 	外国	c=0 d=0.1 t=19256
wai guo re 	外国热	c=1 d=1 t=19257
wai guo ren 	外国人	c=1 d=1 t=19190
wai jie 	外接	c=12 d=1.19427 t=6563
wai jie 	外界	c=1 d=1 t=614
wai mai 	外卖	c=1 d=1 t=7651
wai mian 	外面	c=1 d=1 t=4501
wai wai 	歪歪	c=0 d=0.1 t=6804
wai wai shuang 	歪歪爽	c=1 d=1 t=6805
wan 	万	c=5 d=0.76311 t=12724
wan 	完	c=6 d=1 t=19032
wan 	玩	c=4 d=1 t=21092
wan cheng 	完成	c=24 d=1.0016 t=22219
wan cheng qing kuang 	完成情况	c=1 d=1 t=14435
wan de 	玩的	c=0 d=0.1 t=19029
wan duo 	万多	c=0 d=0.1 t=1382
wan jia 	玩家	c=1 d=1 t=9933
wan le 	完了	c=6 d=1 t=22604
wan le mei 	完了没	c=0 d=0.1 t=20558
wan le wan le 	完了完了	c=1 d=1 t=1912
wan mei 	完美	c=3 d=0.107828 t=13090
wan mei a 	完美啊	c=1 d=1 t=13091
wan mei de 	完美的	c=2 d=1 t=12282
wan mei dian 	玩没电	c=1 d=1 t=2875
wan nong yu 	玩弄于	c=1 d=1 t=13641
wan qing 	万顷	c=1 d=1 t=6888
wan quan 	完全	c=6 d=1 t=21200
wan quan bu hui 	完全不会	c=1 d=1 t=10275
wan quan ti 	完全体	c=1 d=1 t=8982
wan shan 	完善	c=1 d=1 t=22913
